language;method;nodes;edges;density;avg_degree;median_degree;degree_std;max_degree;num_components;largest_component_nodes;largest_component_ratio;diameter;avg_shortest_path;avg_clustering_coefficient;transitivity;modularity;num_communities;degree_assortativity
en;mknn100;10000;3653391;0.073075128;730.6782;773;212.402397;1000;1;10000;1;4;1.947581938;0.279834072;0.295609457;0.365552851;6;0.364360258
bs;thr_p95;10000;2499753;0.05000006;499.9506;342;500.2165101;4980;1;10000;1;5;2.046843504;0.360989323;0.341639479;0.298108725;8;0.143613888
bn;thr_p95;10000;2499752;0.05000004;499.9504;361;480.480047;7400;3;9998;0.9998;5;2.097235732;0.419870725;0.318380385;0.32073478;7;-0.012508089
is;mknn100;10000;3356398;0.067134673;671.2796;686;186.702548;1000;1;10000;1;3;1.93380092;0.225587475;0.242406429;0.325432689;7;0.375411791
bn;mknn100;10000;2710696;0.054219342;542.1392;557;290.6076438;1000;1;10000;1;4;2.032432883;0.265585761;0.284693914;0.352394077;5;0.439097158
cs;thr_p95;10000;2499751;0.05000002;499.9502;255;591.4643241;4251;1;10000;1;4;2.184764076;0.400763365;0.391078478;0.259763971;6;0.082077338
es;thr_p95;10000;2499752;0.05000004;499.9504;380;407.3463098;4079;1;10000;1;5;2.110691369;0.36823567;0.342569731;0.423649325;7;0.15978956
sl;mknn100;10000;2295665;0.045917892;459.133;432;196.3283329;1000;1;10000;1;3;2.024779138;0.245123887;0.322500325;0.419648271;7;0.68969253
pt;mknn100;10000;2437909;0.048763056;487.5818;457;220.5999975;1000;1;10000;1;4;2.128505231;0.293552223;0.3570053;0.505432645;5;0.638694777
ru;thr_p95;10000;2499752;0.05000004;499.9504;231;604.2523949;3887;1;10000;1;4;2.157327953;0.397677646;0.442706491;0.256354568;6;0.161563234
sk;mknn100;10000;3262455;0.065255626;652.491;665;167.8379889;1000;1;10000;1;3;1.935839144;0.22189954;0.243115011;0.360267508;5;0.455017794
hr;thr_p95;10000;2499753;0.05000006;499.9506;418;326.9635438;5478;1;10000;1;4;1.982748875;0.276573096;0.266975994;0.35595971;6;0.137373362
sq;thr_p95;10000;2499752;0.05000004;499.9504;356;473.7261086;5290;1;10000;1;3;1.980807861;0.305019141;0.296130322;0.27431306;7;0.078902206
fr;thr_p95;10000;2499754;0.05000008;499.9508;283;570.6793059;4005;1;10000;1;5;2.265428803;0.427791279;0.392874169;0.320566311;5;0.080230543
uk;mknn100;10000;2913052;0.058266867;582.6104;576;245.6488413;1000;1;10000;1;3;2.007606461;0.272382606;0.29535771;0.446192825;4;0.464637899
nl;thr_p95;10000;2499752;0.05000004;499.9504;156;691.6784539;4194;3;9998;0.9998;5;2.349106752;0.473201362;0.465430514;0.210842577;7;-0.015208216
bs;mknn100;10000;2861631;0.057238344;572.3262;579;195.9461002;1000;1;10000;1;4;1.969936314;0.245939078;0.274946824;0.376863331;7;0.521228486
sr;thr_p95;10000;2499751;0.05000002;499.9502;436;290.5104757;6483;1;10000;1;4;2.077040424;0.325254211;0.320909191;0.424788854;8;0.076211209
de;mknn100;10000;1780967;0.035622902;356.1934;304;246.1492417;1000;1;10000;1;4;2.398849905;0.287504773;0.465426769;0.505463311;6;0.769187019
si;thr_p95;10000;2499752;0.05000004;499.9504;393.5;410.8796986;6378;1;10000;1;4;2.007406501;0.324343459;0.265135745;0.296954949;5;0.015237755
ru;mknn100;10000;2705346;0.054112331;541.0692;520;176.2460309;1000;1;10000;1;3;1.970928693;0.242138435;0.293890096;0.414047484;5;0.578397484
mk;mknn100;10000;2308737;0.046179358;461.7474;430;183.848808;1000;1;10000;1;3;1.999615702;0.233671777;0.322342851;0.436053819;5;0.672835667
